name,type,aliases,domains,as_of,role,based_in,affiliation,related_event,related_topic
ATLAS日本版,媒体,ATLAS,仕事;媒体,2018/1/26,国際誌の日本版,東京,,,移民・難民;労働;気候変動;廃棄物;AIと人権
Frontline Review,媒体,Frontline,仕事;媒体,2018/6/12,調査報道系のオンライン誌,東京,,,情報環境;AIと人権;廃棄物
季刊SOIL,媒体,SOIL,仕事;媒体,2018/11/29,季刊の論考誌,東京,,,教育;気候変動;移民・難民
ブログ「南半球の風向き」,媒体,南半球の風向き;自分のブログ,仕事;媒体;プライベート,2014/11/12,個人ブログ,東京,,,労働;情報環境
日之出システムズ,組織,日之出;前職,仕事;IT,2019/3/29,中堅システム開発会社,東京,,独立,情報環境
城南学院大学,組織,城南学院;大学,学生時代,2013/3/25,文系私立大学,東京,,半年の入院,
バー Cielo,組織,Cielo;シエロ;親父の店,家族;プライベート,1994/11/3,継父が営む個人経営のバー,墨田,,,
東京,場所,,拠点;日本,1986/5/12,生活と仕事の拠点,,,,
墨田,場所,墨田区,家族;日本,1994/11/3,継父の店がある街,東京,,,
ブエノスアイレス,場所,BsAs,ルーツ;海外,2026/1/16,祖父アヤラの出身地・未訪問,,,,
ハルビン,場所,哈爾浜,ルーツ;海外,1993/8/15,母方の祖父母が引き揚げてきた土地,,,,
バイロンベイ,場所,Byron Bay,海外;オーストラリア,2010/2/21,離岸流に流された海,,,オーストラリアでの遭難,
ナポリ,場所,Napoli,海外;イタリア,2021/9/6,繰り返し戻る街,,,,観光;都市
ダッカ,場所,Dhaka,海外;取材,2019/11/9,縫製産業の集積地,,,,労働
ザアタリ難民キャンプ,場所,ザアタリ,海外;取材,2024/1/29,ヨルダンの難民キャンプ,,,,移民・難民;教育
メコンデルタ,場所,メコン,海外;取材,2025/9/9,塩害が進む稲作地帯,,,,気候変動
両親の離婚,出来事,離婚,家族,1992/6/20,六歳のときの家族の分岐点,東京,,,
母の再婚,出来事,再婚,家族,1994/11/3,継父・佐々木徹を迎えた出来事,墨田,,,
サッカー部退部,出来事,退部,プライベート;スポーツ,2000/7/3,顧問と衝突して部を離れた出来事,東京,,,
大学受験三浪,出来事,三浪,学生時代,2008/4/5,三年の浪人を経て大学に入った期間,東京,駿英予備校,,
オーストラリアでの遭難,出来事,遭難;崖から落ちた件,海外;オーストラリア,2010/3/18,離岸流と滑落の二度の事故,バイロンベイ,,,
半年の入院,出来事,入院,プライベート;転機,2010/9/30,滑落による長期入院と留年,,,,
独立,出来事,フリーランス独立;退職,仕事;転機,2019/4/15,日之出システムズを辞めてフリーになった転機,東京,,,
結婚詐欺被害,出来事,結婚詐欺,プライベート;被害,2021/6/17,貯金の大半を失った私的な事件,東京,,,情報環境
シチリアでの脅迫,出来事,脅迫;マフィア,海外;イタリア;取材,2022/5/23,廃棄物取材中に受けた脅し,,,,廃棄物
中米での誤認逮捕,出来事,誤認逮捕;拘束,海外;取材;人権,2023/2/9,空港で別人と間違われ三日間拘束された事件,,,,人権;AIと人権
移民・難民,テーマ,難民;移民,取材テーマ,2024/2/20,国境を越える人と制度,,,,
労働,テーマ,働き方;労働問題,取材テーマ,2019/12/20,働く場の構造と待遇,,,,
気候変動,テーマ,気候,取材テーマ,2025/10/1,環境変化と生活の接点,,,,
廃棄物,テーマ,ごみ;廃棄物処理,取材テーマ,2024/11/12,処理と越境輸出の経路,,,,
AIと人権,テーマ,AI;自動判定,取材テーマ,2026/6/24,自動化された判断と異議申し立て,,,,
情報環境,テーマ,メディア;報道倫理,取材テーマ,2026/4/9,書くことと書かないことの判断,,,,
