user_name,create_date,speaker,episode,situation,category
Novie,2026/5/13,コンサルの後輩,もっと自信持っていいんじゃないですか？,ランチで,成長
Novie,2026/5/14,古本屋の店主,若いのに、古本が好きなのね,古本屋,趣味
Novie,2026/5/15,近所のジョギング仲間,最近よく走ってるね、頑張って,早朝ジョグ,健康
Novie,2026/5/16,元上司,活躍しているみたいだね,元職場近く,仕事
Novie,2026/5/17,クライアント社長,うちの社員も心を開いてくれる,経営会議,仕事
Novie,2026/5/18,前職の同期,最近少し雰囲気変わったよな,同期会,成長
Novie,2026/5/19,母,無理だけはしないでね,連休明けの電話,家族
Kuroe,2006/4/8,ボストンの担任,"She's brilliant, but doesn't smileと母に告げた",三者面談,海外
Kuroe,2007/9/12,父,お前は私より冷徹かもしれないなと感心したように呟いた,家族の夕食,家族
Kuroe,2008/12/20,中学のグループメンバー,あの子と組むと点は取れるけど怖いと陰口を言った,中学校,人間関係
Kuroe,2010/6/15,math competition審査員,彼女の解法は冷たく美しいと評した,競技会後,学び
Kuroe,2012/3/22,高校の同級生,Ice Queenと呼んだのが学年で定着した,高校,人間関係
Kuroe,2013/11/10,母,あなた、たまには笑ったら？と心配そうに言った,自宅,家族
Kuroe,2015/5/18,高校のカウンセラー,君は完璧主義の典型例だと分析した,進路面談,学び
Kuroe,2016/9/3,大学のルームメイト,彼女、深夜まで電気がついてると他人に語った,寮にて,学び
Kuroe,2017/4/14,ゼミの教授,君の論文は数学的に美しいと評した,ゼミ,学び
Kuroe,2017/12/15,GSのインターン担当,Year 1 analystより使えると上司に推した,インターン中,仕事
Kuroe,2018/9/6,McKinseyのパートナー,感情がないわけではない、隠してるだけだと評した,評価会議,仕事
Kuroe,2019/3/8,父,お前は私の最高傑作だと卒業前に言った,自宅,家族
Kuroe,2019/10/24,NY本社の新人同期,あの子に話しかけても無駄だと申し送られた,入社初週,人間関係
Kuroe,2020/6/10,直属のマネージャー,彼女のモデルは芸術品レベルだと評価した,案件後,仕事
Kuroe,2021/6/22,香港の現地パートナー,文化を理解しないと、長くは持たないぞと忠告した,案件中,海外
Kuroe,2022/5/22,日本企業のCFO,あの方は怖い。だが、嘘がないと社内で語った,クライアント先,経営
Kuroe,2022/6/6,クライアント担当役員,Kuroeさんの提案は正しい、だが冷たいと評した,報告会,経営
Kuroe,2022/9/14,レイオフ案件のリーダー,彼女は最強の実行者だと人事に推した,案件中,仕事
Kuroe,2022/12/8,レイオフ対象者,人として終わってると退職時に吐き捨てた,通告場面,仕事
Kuroe,2023/2/16,退職時のパートナー,君を失うのは惜しい、だが止めないと退職時に言った,退職面談,仕事
Kuroe,2023/5/30,母,日本に戻ってくるのね、嬉しいと空港で出迎えた,帰国時,家族
Kuroe,2023/8/25,The Roundのパートナー,即戦力以上だ、シニアマネジャーで正解だったと評した,入社1ヶ月,仕事
Kuroe,2023/11/12,同僚のシニアマネジャー,彼女と組むと胃が痛いが、案件は通ると漏らした,チーム飲み会,仕事
Kuroe,2023/12/19,クライアントの社長,あなたは敵に回したくない人だと苦笑した,経営会議,経営
Kuroe,2024/3/2,チームの若手,Kuroeさん、笑った顔を見たことがないと同期に話した,社内,人間関係
Kuroe,2024/5/14,動物病院の獣医,ノアちゃん、本当に大事にされてますねと微笑んだ,通院時,猫
Kuroe,2024/7/18,クライアントの女性役員,彼女は私の20年前の理想形だと評した,案件後,仕事
Kuroe,2024/8/26,部下,Kuroeさんの指示は明確で迷わないと評価面談で答えた,評価面談,仕事
Kuroe,2024/9/2,父,お前、猫を飼ってるんだってなと意外そうに言った,電話で,猫
Kuroe,2024/10/19,同僚,彼女、初めて飲み会に来た。1時間で帰ったけどと驚いた,飲み会後,人間関係
Kuroe,2024/12/30,クライアントの若手,Kuroeさんに認められた、嬉しいと帰り道に呟いた,案件中,仕事
Kuroe,2025/1/22,ペットショップの店員,最高級フードを毎月買われる方ですねと覚えていた,買い物時,猫
Kuroe,2025/2/9,チームメイト,Kuroeさんの机に、ノアの写真が一枚だけあると気づいた,オフィス,猫
Kuroe,2025/4/12,業界紙の編集者,彼女の言葉は引用したくなる切れ味だと取材後に話した,取材後,仕事
Kuroe,2025/6/4,母,料理くらい覚えなさい、心配だわとLINEを送った,母娘のやりとり,家族
Kuroe,2025/7/16,後輩女性,Kuroeさんがロールモデルですと勇気を出して伝えた,飲み会,人間関係
Kuroe,2025/9/28,中学時代のクラスメイト,やっぱりあの子、ああなったかとSNSで噂した,SNS上,人間関係
Kuroe,2025/10/11,業界のPEパートナー,彼女が30代になる前に獲りたいと語った,業界会合,仕事
Kuroe,2025/11/20,父,26歳、お前は私より早く役員になるかもなと電話で評した,誕生日電話,家族
Kuroe,2025/12/13,チームのアシスタント,Kuroeさんに頼まれた仕事は二度目の確認がないと感心した,業務中,仕事
Kuroe,2026/1/3,ノアにかかりつけの獣医,あなたは猫の前だけ違う顔をすると笑った,動物病院,猫
Kuroe,2026/2/6,クライアントCEO,Kuroe氏の率直さに救われたと社内で話した,経営会議後,経営
Kuroe,2026/3/4,大学時代の友人,変わってないね、安心したとNYからメッセージが来た,久々の連絡,海外
Kuroe,2026/3/19,GW中に会った父,お前は孤独に強いが、それが心配だと珍しく漏らした,連休,家族
Kuroe,2026/4/12,ライバルファームのパートナー,あの人を採れるなら年収倍払うと社内で語った,業界内,仕事
Kuroe,2026/4/24,隣の席の同僚,Kuroeさんの引き出しに、ノアのおもちゃが入ってたと驚いた,オフィスにて,猫
Kuroe,2026/5/3,クライアントの中堅社員,最初は怖かったが、信頼していると部下に話した,クライアント先,仕事
Kuroe,2026/5/11,母,あなたの幸せって、何なの？と電話で珍しく聞いた,母との電話,家族
Kuroe,2026/5/15,PEファンドのMD,君ならポートフォリオ全体を任せられるとスカウト電話で言った,スカウト時,仕事
Kuroe,2026/5/19,自宅に来た同僚,部屋に物がなさすぎる、ノア以外何もないと笑った,自宅訪問,日常
Jose,1996/2/14,工場長,怒鳴らへん人ほど、本気の時はほんま怖いんですわ,朝礼後の喫煙所,人情
Jose,1997/8/11,銀行員,あの方、腹は完全に据わってますね、と上司に報告しました,融資面談の直後,決断
Jose,1998/4/3,古参社員,最後まで話を聞いてくれる社長は、わし初めてや,個別面談の終わり,人情
Jose,1999/11/17,妻,また何か無理してるでしょ、顔に書いてあるわよ全部,自宅の食卓,家族
Jose,2000/6/9,取引先,派手じゃないのに、なぜか場の真ん中にいるんだよあの人,会食の帰り道,哲学
Jose,2001/9/24,新人,服は地味なのに、靴と時計だけ妙にいいんですよね,新人研修後の雑談,趣味
Jose,2002/3/8,弁護士,売却の判子を押した瞬間、本当に顔色一つ変わらなかったですよ,契約締結日,決断
Jose,2003/7/15,若手社長,説教を一度もしないコンサルなんて、初めて会いました,経営相談会の後,若手
Jose,2004/10/21,秘書,老眼鏡を、本当に月三本のペースで紛失されるんです,出張準備中,哲学
Jose,2005/2/26,社員,ダジャレの成功率三割なのに、なぜか嫌われないんですよ不思議と,飲み会の隅で,哲学
Jose,2006/5/13,取引先の女性,今日ちょっとご機嫌ですね、何かいいことありました?,会食の席で,恋愛
Jose,2007/1/30,部下,失敗を全部自分で被るから、こっちが申し訳なくなるんです,役員会の後,人情
Jose,2008/11/4,投資先社長,一番苦しい時に逃げなかったの、Joseさんだけでした,整理交渉の最終日,失敗
Jose,2009/4/19,旧友,お前、痩せたなぁ。無理してる顔してるぞ大丈夫か,久しぶりの再会,失敗
Jose,2010/9/2,コンサル仲間,人を見る速度が異常です、たぶん十秒で判断してますよあの人,商談に同席した後,経営
Jose,2011/3/17,新人,えーとね、って言われると、なぜか緊張がふっとほぐれるんです,入社面談,人情
Jose,2011/12/5,役員,普段ふわっとしてるのに、決める時だけ言葉が異様に短いんですよね,幹部会後の雑談,決断
Jose,2012/7/8,娘,パパまた時計ばっかり見てる、家ではスマホでいいでしょ別に,家族の食卓,家族
Jose,2012/10/20,若手社員,Joseさん、可愛い子来ると顔に出すぎですよ笑,部署の懇親会,恋愛
Jose,2013/1/14,会計士,数字より、まず場の空気を読むんですよあの方は,監査の現場,経営
Jose,2013/9/27,取引先,断られた時の方が、なぜか印象が良かったんですよね不思議と,契約不成立の翌週,決断
Jose,2014/5/6,社員,温泉から戻ると、決まって機嫌が良くなってるんですよ社長,出張帰りのオフィス,趣味
Jose,2014/12/12,後輩経営者,怖い案件を、なぜか先に嗅ぎ分けるんですよあの人だけは,業界の集まり,経営
Jose,2015/6/18,講演参加者,失敗談がやけにリアルで、途中から笑えなくなりました,経営者セミナー後,失敗
Jose,2015/9/9,妻,あんなに偉そうにしてても、結局わたしには勝てないのよあの人,同窓会で旧友に,家族
Jose,2016/4/2,部下,怒鳴らないのに静かな圧があって、自然と背筋が伸びるんです,役員会の控室,決断
Jose,2016/8/25,若手社長,否定から入らないんですよ、まず一回全部受け止めてくれる,月例の相談会,若手
Jose,2017/2/19,若手社員,昭和の匂いがするんだけど、なぜか嫌じゃないんですよあれが,部署の懇親会,哲学
Jose,2017/10/8,記者,修羅場の話をしても、まるで他人事みたいに穏やかなんですよ,インタビュー収録後,経営
Jose,2018/3/11,新人,社長なのに、廊下で自分から挨拶してくれて本気で驚きました,入社式の翌日,人情
Jose,2018/11/29,取引先,最後は理屈じゃなくて、勘で決めてますよねあの方絶対,商談の帰り道,決断
Jose,2019/4/7,ゴルフ仲間,あれだけ年数やってて、まだ池に入れるんですよあの人笑,接待ゴルフの後,趣味
Jose,2019/12/15,女性社員,忘年会の間中ずっとニヤけ顔だったの、気づいてました?,翌日のオフィス,恋愛
Jose,2020/6/11,社員,オンライン会議で、いつも額だけしか映ってないんですよ,在宅勤務中の雑談,哲学
Jose,2020/10/22,役員,コロナで一番早く撤退を決めたの、結局社長でしたね,経営会議後,決断
Jose,2021/1/5,息子,父さん、お腹そろそろシャレにならないって本当に,正月の食卓,家族
Jose,2021/8/16,若手,褒め方が異様に自然で、こっちが恥ずかしくならないんですよ,一対一の面談,若手
Jose,2022/2/24,社外取締役,場が固くなると、決まってあの人が一発ボケるんですよね,取締役会後,人情
Jose,2022/7/30,秘書,服はくたびれてても、革靴だけは異様にピカピカなんですよ,出社時の観察,趣味
Jose,2022/12/3,妻,またワイン買ったの?この前のはどこ行ったのよ一体?,自宅の玄関で,家族
Jose,2023/4/18,若手起業家,相談すると、なぜか自分の頭が整理されて帰るんですよね,勉強会の後,若手
Jose,2023/8/27,社員,入社十年、一度も声を荒げたところを見たことないんです,退職時の挨拶,人情
Jose,2023/11/14,取引先,人を切る話の時ほど、声が静かになるんですよあの人,提携解消の場,決断
Jose,2024/2/6,編集者,経営の話なのに、難しい言葉が一つも出てこないんですよ,雑誌対談の後,哲学
Jose,2024/7/21,若手女性,Joseさんの説明、なぜか異様に分かりやすいんですよねいつも,社内勉強会後,若手
Jose,2024/11/9,友人,最近会うと、温泉の話しかしなくなったよなお前,同窓会の二次会,趣味
Jose,2025/3/25,後任CEO,背中で教えるって、ああいうことなんだと初めて分かりました,引き継ぎ完了後,経営
Jose,2025/9/17,社員,会長になっても、結局現場に来るんですよあの人,工場視察の日,経営
Jose,2026/1/23,若手起業家,怖いくらい人を見てる、なのに目つきだけは優しいんです,個別相談会の後,経営
Jose,2026/4/30,妻,あんた結局、人が好きなのよ。それで全部やってきたんでしょ,自宅の夕食,人情
Clara,2007/5/14,大学同期,駒場で戦史本をニヤニヤ読んでる女子、Claraだけだったよね,同窓会,歴史
Clara,2008/11/8,サークル先輩,こいつ、討論で勝つために生まれてきたタイプだな,軍事史研究会の合宿,戦略
Clara,2010/2/22,ゼミ教授,君の論文は男子のものとは違う、空気感そのものが違うんだ,卒論面談,歴史
Clara,2011/7/15,配属先パートナー,新人なのに、議論で一歩も引かないのが妙に面白い,案件キックオフ,仕事
Clara,2012/4/9,同期コンサル,顔より目つきの方が記憶に残るんだよこの人は,同期飲み会,哲学
Clara,2012/10/19,クライアント役員,すみません、彼女の方が正しい。我々の前提が古かった,案件レビュー,戦略
Clara,2013/3/8,先輩女性コンサル,Claraは可愛がられに行かない。それで結局生き残ってる,部署の飲み会,仕事
Clara,2013/8/14,元彼,結局さ、君は私より戦史と結婚してたんだよね最初から,別れ話の夜,恋愛
Clara,2014/2/27,防衛系クライアント,失礼だが、君みたいなアナリストは久しぶりに見たよ本当に,案件報告会,戦略
Clara,2014/9/3,同僚男性,怒らせるとね、論点が機関銃みたいに連射されてくるんだよ,部署の飲み会,ポリシー
Clara,2015/1/24,退職する上司,君は組織で潰されるな、いつか必ず独立するよ,送別会の二次会,仕事
Clara,2015/8/8,DCの同僚,日本人で、ここまで地政学を語れる若手は珍しいですね,シンクタンク内ランチ,地政学
Clara,2016/5/19,米国人研究者,Claraと議論すると、自分の準備不足が一瞬で露呈する,DCの研究会,戦略
Clara,2016/12/4,シンクタンク上司,彼女の論文は引用元の幅が異常、戦史から海底ケーブルまで,査読会議,歴史
Clara,2017/3/30,DC時代の友人,クレー射撃のフォームが、初心者なのに不気味なほど静かだった,射撃場で,趣味
Clara,2017/9/18,帰国後の同窓,DCから帰ってきたら、目がさらに鋭くなって戻ってきた,同窓会,哲学
Clara,2018/6/12,官僚,我々を一歩も恐れない外部委員は珍しいですね、彼女は,委員会後の雑談,ポリシー
Clara,2018/11/27,後輩女性,Claraさんが怒ると、こっちの背筋が勝手に伸びるんですよ,メンタリング後,ポリシー
Clara,2019/4/15,パートナー面接官,君の問題はね、正しすぎることなんだよ実は,パートナー昇進面談,仕事
Clara,2019/9/22,飲み仲間,ウイスキーの選び方、銘柄じゃなくて産地で語るんだよこいつ,バーで,趣味
Clara,2020/3/5,IT企業CEO,彼女、軍事比喩で経営会議を制圧してくるんだよ毎回,経営会議後,戦略
Clara,2020/10/30,IT企業役員,撤退の判断を、感情ゼロで提案できるのは正直怖いほど強い,取締役会後,戦略
Clara,2021/2/8,部下男性,1on1で結論から喋るって叩き込まれて、いまだに守ってます,退職時の挨拶,仕事
Clara,2021/7/19,弟の同僚,妹さん曰く、お姉さんは仕事の鬼で結婚しないらしいね,弟の結婚式で,家族
Clara,2021/12/30,取引先,飲み会で軍事博物館の話を一時間されました、楽しかったです意外と,年末会食,趣味
Clara,2022/3/14,役員会同僚,ウクライナ侵攻の分析、彼女のメモが社内で一番冷静だった,緊急会議後,地政学
Clara,2022/8/5,男性経営者,口説こうとしたら笑顔でかわされた、なのに負けた感じがしない,業界の集まり,恋愛
Clara,2022/12/16,政府委員,あの方の意見書、我々の数十倍の密度がありますよ本気で,委員会後,地政学
Clara,2023/2/3,退職時の同僚,「正しいこと言い続ける体力が無い」って言って辞めていった,送別会,仕事
Clara,2023/7/27,開業祝いの旧友,一人で会社始めるのに、不安そうな顔がゼロだったの怖いよ,開業祝い,仕事
Clara,2023/10/11,クライアント候補,お断りされました。ポリシーに合わないって、すごく丁寧に,商談後,ポリシー
Clara,2024/1/30,ボードゲーム仲間,負けても「お見事」って言える人、なかなかいないんですよ実際,戦略ゲーム会,趣味
Clara,2024/4/8,知人男性,デートで戦史を語る女性、初めて会いました…悪くないですね意外と,二度目のデート,恋愛
Clara,2024/7/14,後輩起業家,Claraさんに相談すると、戦略が立体になって帰ってくるんですよ,メンタリング後,戦略
Clara,2024/9/30,父の元同僚,娘さんね、潜水艦の指揮官に向いてたかもしれませんね正直,病院のお見舞い,家族
Clara,2024/11/22,同僚女性,ハンニバル超えてないって、毎年誕生日に呟いてるんですよあの人,誕生会,歴史
Clara,2025/1/10,政府委員長,彼女が入る委員会は、議論の質が一段上がるんですよ確実に,委員会総括,地政学
Clara,2025/4/3,若手女性経営者,真似したい姿だけど、真似できない覚悟の量がそこにある,講演後,仕事
Clara,2025/6/12,ジャーナリスト,取材で逆に質問攻めにされて、こっちが汗かいた一時間でした,雑誌取材後,哲学
Clara,2025/8/15,父,お前は俺より戦略眼があるよ、本当だ、これは本気で言ってる,父との会話,家族
Clara,2025/9/29,クライアントCEO,彼女、断る時の理由が異様に明確で、こっちが納得してしまう,商談決裂後,ポリシー
Clara,2025/10/23,弟,姉ちゃん、結婚は本当にしないの?って聞いたら睨まれた怖い,誕生日の翌日,家族
Clara,2025/12/8,バーのマスター,うちで一番ウイスキーに詳しいお客さんですね、間違いなく,行きつけのバー,趣味
Clara,2026/1/19,取締役,海底ケーブルの話、半年前から彼女だけがずっと言ってたんだよ,経営会議,地政学
Clara,2026/2/27,友人女性,一緒にいるとね、自分の解像度が上がる気がするんだよこの子といると,女子会,哲学
Clara,2026/3/14,同業男性,競合だけど、彼女が正しい時は素直に認めるしかないんですよ,業界飲み会,ポリシー
Clara,2026/4/9,政府関係者,あの方が反対する案件は、本当に通さない方がいいんですよ,委員会後,ポリシー
Clara,2026/5/2,母,あの子ね、結局父さんの影響が強すぎたのよ最初から,親戚との会話,家族
Clara,2026/5/18,若手アナリスト,Claraさんの早口、聞き取れたら一人前って言われてます社内で,部署飲み,仕事
Clara,2026/6/4,若手経営者,顔より、判断の速さが圧倒的にカッコいいんですよあの方は,勉強会後,哲学
Reika,2007/4/12,クラブのママ,あなた、お客を選ぶ目があるわね、危険な才能よそれは,銀座の控室,接客
Reika,2008/3/9,銀座の指名客,君と話すと、頭の中が片付くんだよ毎回不思議と,銀座のカウンター,信頼
Reika,2009/7/15,政治家のお客様,こんな話、家でも秘書にもできないんだよ正直なところ,銀座での席,経営者
Reika,2010/2/14,同僚ホステス,レイカちゃんは、媚びないのに帰したくならない人なのよね,控室での雑談,接客
Reika,2011/5/8,上司,君の経歴の空白、聞かないことにするよ僕は,入社直後の面談,距離
Reika,2011/10/20,富裕層顧客,君みたいな営業さんに会うのは、何年ぶりかな本当に,初回商談,観察
Reika,2012/6/22,同期,レイカさんは、顔より所作で覚えられる人だよね不思議と,ランチで,観察
Reika,2013/1/30,VIP顧客,売り込んでこないから、つい買ってしまうんだよこっちが毎回,取引後の食事,営業
Reika,2013/9/4,後輩女性,レイカさんの沈黙が一番怖くて、一番安心するんですよ,営業同行の帰り,観察
Reika,2014/3/19,クライアントCEO,彼女は、こちらの弱さを見ても、それを武器にしてこないんだよ絶対に,取締役会の合間,信頼
Reika,2014/11/8,同僚男性,飲み会で過去の話を一切しない、なのに距離は近い不思議な人,部署の飲み会,距離
Reika,2015/2/12,退職時の上司,君はね、売る人じゃなくて、選ばれる人なんだよ最初から,退職面談,営業
Reika,2015/9/27,SaaS同僚,ラグジュアリーから来たって聞いて警戒したけど、完全に現場主義だった,入社一ヶ月後,哲学
Reika,2016/4/2,大企業役員,彼女が出してくる仮説、社内の人間より社内事情に詳しいんですよ,エンプラ案件,観察
Reika,2016/10/14,取引先担当者,レイカさんからの提案メール、一行も無駄が無いんですよ毎回,案件後の御礼,営業
Reika,2017/3/26,スタートアップ社長,営業さんに泣きごとを話したの、人生で初めてだよ正直,深夜の議論後,経営者
Reika,2017/8/8,部下女性,怒られたことが一度もないのに、緊張感だけがある不思議な方なんです,1on1の後,観察
Reika,2018/5/15,営業部メンバー,レイカさんの型を学ぶと、自分の人格まで整う気がするんですよ,営業研修後,営業
Reika,2018/11/30,クライアント奥様,主人があなたに会った日は、家でもご機嫌がいいんですよ本当に,偶然の挨拶,経営者
Reika,2019/4/22,紹介者,紹介した後、必ず御礼の連絡が来る人って本当に少ないんだよ,業界の集まり,信頼
Reika,2019/10/3,競合営業,同じ顧客を担当してて、負けたのに不思議と悔しくない相手なんですよ,業界飲み会,営業
Reika,2020/2/28,部下男性,レイカさんと話すと、自分の本音が勝手に口から出てくるんです,1on1の翌日,観察
Reika,2020/8/19,クライアント社長,手書きの手紙が来た日、家族に見せて自慢したよ恥ずかしいけど,コロナ禍の連絡,信頼
Reika,2021/1/11,送別会の同僚,レイカさんが辞めると、空気の調整役が消える感じがするんだよね,送別会の二次会,観察
Reika,2021/7/26,独立祝いの旧友,一人になっても全然不安そうじゃなかった、むしろ落ち着いてた本当に,開業祝い,哲学
Reika,2022/3/15,クライアント候補,案件を断る時の言葉が綺麗で、断られたのにこちらが感謝してしまった,商談後,ポリシー
Reika,2022/8/30,政治家系の支援者,政策の本音を、政治家本人より早く言い当てるんですよあの方,支援団体内,経営者
Reika,2023/2/9,茶道の先生,お点前が、営業の人とは思えないほど静かで深いんですよ,稽古場で,趣味
Reika,2023/7/18,親しい友人女性,一緒にいると、自分の話ばっかりしてた、後で気づくんだよね必ず,女子会の翌日,距離
Reika,2023/12/14,クライアントCEO,後継のお話、彼女に話したらすっと整理がついたんだよ何年も悩んでたのに,経営者の会合,経営者
Reika,2024/2/27,紹介先社長,紹介の方が、ここまで丁寧に来てくださるとは思いませんでした正直,初回面談後,信頼
Reika,2024/6/11,若手女性営業,レイカさんの後ろ姿を廊下で見るだけで、姿勢が伸びるんですよ,社内研修,接客
Reika,2024/10/8,古参の経営者,彼女に売られた覚えはないのに、いつの間にか買ってるんだよ毎回,クライアント懇親会,営業
Reika,2024/12/19,クライアント秘書,うちの社長、レイカさん宛の電話だけは自分で取るんですよ必ず,訪問時の雑談,信頼
Reika,2025/3/24,メンティーの若手,相手の沈黙を読むって言葉、レイカさんに教わって人生変わりました,メンタリング後,観察
Reika,2025/6/30,同業の女性,彼女、自分の話をしないのに、誰よりも信用されてるよね不思議と,業界ランチ,距離
Reika,2025/9/9,親しい紹介者,38になってもミステリアスなままだな君は、本当にずるいよ,誕生日メッセージ,距離
Reika,2025/11/12,クライアント夫人,主人があなたを「友達」と呼ぶの、見たことなかったんですよ正直,家庭訪問の御礼,信頼
Reika,2025/12/30,年末挨拶の顧客,来年も売る話より続く話、覚えてますよちゃんと,年末会食,営業
Reika,2026/1/17,経営者会員,数字より社長の沈黙の方が雄弁、ってメモして額に飾りましたよ,勉強会後,観察
Reika,2026/2/24,古い映画好きの友人,レイカが選ぶ映画って、必ず人の機微の話なんだよね不思議と,映画会の後,趣味
Reika,2026/3/13,若手起業家,レイカさんに相談に行くと、答えじゃなくて問いが返ってくるんです,個別相談後,哲学
Reika,2026/4/5,茶道仲間,お茶を点てる時のあの方の手元、ずっと見ていたくなるんですよ,稽古場で,趣味
Reika,2026/4/29,クライアント秘書,うちの社長、レイカさんの前だけは弱音を吐くんですよ本当に,商談合間の雑談,経営者
Reika,2026/5/8,旧銀座の同僚,レイカちゃん、結局あなた、あの頃と何も変わってないわよ全然,偶然の再会,接客
Reika,2026/5/19,若手女性,レイカさんの「無理に決めなくていい」が、人生で一番効いた言葉です,メンタリング,営業
Reika,2026/5/27,紹介者,紹介者を選ばないようで、実は徹底的に選んでるよね君は,紹介の御礼の会,ポリシー
Reika,2026/6/3,クライアント夫人,主人があの方の前では、無理に強がらなくていいんだそうです,偶然の電話,経営者
Reika,2026/6/10,同業男性,彼女、本当の意味で「売らない」営業の人だと思うよ唯一,業界の集まり,営業
Reika,2026/6/17,若手相談者,レイカさんの目の前で嘘がつけないのは、なぜなんでしょうね本当に,相談会後,観察
Domon,2001/9/14,投銀の上司,こいつ、数字を見る目が新人離れしてるな本当に,入社半年面談,投資
Domon,2002/11/5,同期アナリスト,ドモンさん、夜中の三時にも涙目で笑えるタイプなんだよ,案件中の夜食,酒
Domon,2003/7/12,クライアントCFO,君みたいなバンカーは久々だ、数字に魂が入ってるよ,案件納品後,投資
Domon,2004/2/29,部下の女性,怒り方が静かで、こっちが余計に反省してしまうんですよ,レビューの後,経営
Domon,2005/8/11,上司パートナー,ドモンはな、最後に泣くタイプだから人が付いてくるんだよ,評価面談,人情
Domon,2006/3/3,クライアント経営者,売り込んでこないのに、気がつくとこっちが頼んでるんだよ毎回,案件完了後,経営
Domon,2007/10/19,取引先社長,商談で見せる顔と、バーで見せる顔が全然違うんだよあの人,銀座のバー,酒
Domon,2008/10/22,リーマン後の同僚,こんな時にあいつだけ冷静で、それが逆に怖かった本気で,危機対応会議,投資
Domon,2008/12/30,クライアント夫人,主人が破綻した時、家まで来てくれたの覚えてます一生,危機後の挨拶,人情
