create_date,subject,place,impression
2024/2/2,少女ヌールのノート,ヨルダン・ザアタリ,将来の夢の欄が空白のまま、周りだけびっしり埋まっていた。書けないことを責める大人が誰もいなかったのが救いだった。
2024/5/11,観光地の行列と住民の裏道,イタリア・ヴェネツィア,住民は観光客の列を横切らず、必ず一本裏を歩いていた。同じ街に二つの動線がある。共存とは無関係の別名かもしれない。
2024/8/14,降ろされた企画書,東京・都内の出版社,広告主の意向で結論が先に決まっていた。断ったあと、担当者が廊下まで追いかけてきて小声で「正しいと思います」と言った。言えない人がいる場所の話。
2024/10/3,リサイクル工場の匂い,ガーナ・アクラ近郊,電子廃棄物を焼く煙の匂いが、三日間服から取れなかった。取材者だけが匂いを持ち帰れる。住む人は持ち帰れない。
2024/10/5,基板から銅を抜く少年,ガーナ・アクラ近郊,手つきが職人だった。搾取という言葉だけで書くと、この技術が消える。書き方の暴力について長く考えた。
2025/1/20,AI規制の公聴会の空席,ベルギー・ブリュッセル,傍聴席の前半分が空いていた。決まる場所に誰もいないという事実のほうが、決まった内容より重い。
2025/3/8,ロビイストの名刺入れ,ベルギー・ブリュッセル,名刺を三種類使い分けていた。悪意ではなく職能だと本人は言う。役割と人格を切り離す訓練を受けた人たち。
2025/4/22,被災地の仮設商店街のシャッター,日本・東北の沿岸部,半分が閉まっていて、閉まっている店の前だけ雪かきがされていた。誰かが毎朝やっている。復興の統計には出てこない。
2025/6/28,倒れた継父の手,東京・墨田のバー Cielo,病院で握ったら、あの大きな手が思ったより軽かった。人の大きさは記憶の中で補正されている。
2025/7/15,閉まったCieloの扉,東京・墨田,一ヶ月閉めている間、扉の前で立ち止まって帰る人を何人か見た。話す場所が消えると、話は消えるのではなく行き場をなくす。
2025/9/9,水没した稲田,ベトナム・メコンデルタ,塩水が入った田んぼの色が、思っていたより綺麗だった。被害の写真が美しく撮れてしまうことの後ろめたさ。
2025/9/12,農民ミンさんの計算,ベトナム・メコンデルタ,何年でここが使えなくなるかを、彼は正確に暗算していた。当事者は自分の終わりの日付を知っている。
2025/11/4,国際会議のプレスルームの弁当,ドバイ,気候の会議で出た弁当が使い捨て容器だった。誰も指摘しない。矛盾は指摘されないから続く。
2025/12/1,元実習生のいまの職場,日本・群馬,かつて取材した実習生が、経営側に回っていた。同じ構造を今度は使う側で回している。単純な被害者の物語は続かない。
2026/1/16,雪のブエノスアイレス行き便,乗り継ぎのマドリード空港,祖父の港を見に行こうとして、三度目のキャンセル。行かない理由を毎回きちんと用意している自分に気づいた。
2026/2/11,マッテオの母親の食卓,イタリア・ナポリ,初対面の日本人に、皿を四回おかわりさせた。歓待は言葉が要らない。取材者として一番無防備になる瞬間。
2026/2/14,値札のない土産物屋,イタリア・ナポリ,観光客には高く、地元には安く。二重価格を悪と切り捨てられなかった。切り捨てられなくなった時点で、たぶん記者としては半歩前進した。
2026/3/20,フリースタイルの若い選手,東京・代々木公園,二十年前の自分と同じ技を、はるかに綺麗に決めていた。抜かれることが不快でなかったのは初めてだった。
2026/4/18,匿名を望んだ告発者の靴,東京・都内の喫茶店,話している間ずっと足が出口を向いていた。顔を隠すより先に、身体が逃げる準備をしている。
2026/5/12,四十歳の誕生日の空,東京・自宅のベランダ,誕生日の朝、Cieloの名前の意味をまた思い出した。祖父の言葉と継父の店が、意味の上でだけ繋がっている。血縁より偶然のほうが強いことがある。
2026/6/30,録音を消した日,東京・自宅,本人が公開を撤回した音源を消した。書けば確実に読まれる内容だった。消すという判断だけは、誰にも褒められない。
2026/7/22,取材ノートの束,東京・自宅の本棚,二十年分のノートを並べたら、初期のものほど字が大きかった。分かっているつもりの量と、字の大きさは比例する。
