emp_id,speaker,create_date,feedback
emp002,社内オブザーバー,2011/6/12,議論の論点整理が上手いね。初見のメンバーでもすぐ理解できる場づくりができている。
emp002,提携先コンサル,2012/1/23,コミュニケーションがスムーズで助かった。こちら側の事情も汲んで調整してくれたのが印象的。
emp002,外部アドバイザー,2012/8/15,専門知識はあるが、経営層への“通し方”が弱い。視座をもっと上げてみよう。
emp002,プロジェクトアシスタント,2013/4/9,説明が丁寧で理解しやすいです。こちらのレベルに合わせて話してくれるのがありがたいです。
emp002,クライアント次長,2013/9/1,打ち合わせの進行が見事。議論が脱線しそうなときの戻し方がプロですね。
emp002,後輩チームリーダー,2014/3/11,判断が早すぎて、理由を共有できないときがあります。背景をもう少し言葉にしてくれると動きやすいです。
emp002,同業他社マネジャー,2014/11/26,あなたの分析観点はいつも刺激になります。視点の置き方を学ばせてもらっています。
emp002,クライアント改革担当者,2015/1/6,こちらの本音を引き出してくれて感謝しています。あのヒアリングがプロジェクトの転換点でした。
emp002,新任部長,2015/9/14,期待値を上回るスピードで形にしてくれる。ただし、時々“やり過ぎ”に見える時もある。
emp002,ベテラン社員,2016/2/19,若いのに落ち着いているし、腹落ちさせる説明が上手い。安心感があるね。
emp002,外部講師仲間,2016/10/30,場の空気をつかむのが本当にうまい。参加者の反応に合わせて話を調整できているのがすごい。
emp002,クライアント経営企画室,2017/4/5,実行フェーズでの伴走が心強かった。理論だけでなく、現場の事情を踏まえて助言してくれる。
emp002,海外拠点マネジャー,2017/12/17,文化差を理解したコミュニケーションが助かる。もっと頻度を増やして対話したい。
emp002,若手プロフェッショナル,2018/7/2,指摘が鋭いけど、いつも前向きに受け取れる伝え方をしてくれる。成長のきっかけになっています。
emp002,クライアントCFO,2019/1/29,数字の見方が的確。ただ、財務以外の視点ももっと統合できると、説得力がさらに増す。
emp002,社外プログラム受講者,2019/10/16,ロジックだけでなく、実務のリアリティがある話で理解が深まりました。
emp002,新規クライアント担当役員,2020/3/3,短期間で我々の事業特性を理解してくれた。キャッチアップ力に驚いている。
emp002,後任マネジャー,2020/12/22,引き継ぎ資料が本当にわかりやすかった。プロジェクトの背景まで整理されていて助かりました。
