create_date,theme,publisher,title,summary
2020/9/4,公衆衛生,ATLAS日本版,医療が届く順番,感染症対応において、医療資源が届く順番を決めているのが医学ではなく物流と行政区分であることを、三つの地域の比較で示した。緊急時の優先順位が平時の格差をそのまま拡大再生産する構造を指摘している。統計と現場証言の配分に苦労した記事で、数字が多すぎると人が消えるという反省が残った。
2020/12/8,情報環境,Frontline Review,音声だけで分かること,移動制限下の取材手法をまとめた続報。相手の呼吸や間合いといった非言語情報が音声には残ることを、複数の取材例で示した。対面が常に優れているという前提を検証し、条件によっては音声のみのほうが率直な話が出ることを論じた。
2021/2/26,気候変動,季刊SOIL,水があった頃に捨てられたもの,南欧の干上がった灌漑用水路を歩いたルポ。水路の底に沈んでいた自転車を象徴に据え、環境変化が過去の生活を可視化してしまう逆説を描いた。気候変動を未来の危機としてではなく、過去が露出する現象として書いた点が新しかった。以降、この視点は複数の記事に引き継がれている。
2021/5/13,都市,ATLAS日本版,空が狭い場所,ナポリの旧市街で、路地の上に渡された洗濯物によって空が狭くなる光景を起点に、密集した居住環境がもたらす安心について書いた。過密を問題として扱う都市計画の前提に対し、住民の主観を対置している。理屈をつけずに書き切った珍しい一本。
2021/11/30,情報環境,Frontline Review,被害者が取材されるとき,自身が結婚詐欺の被害に遭った経験を明かした上で、被害当事者への取材がなぜ難しいかを書いた記事。人の話を聞く仕事をしながら自分の話は誰にもしていなかったという告白を含む。私的な体験を記事にすることの是非について編集部と長く議論し、最終的に手法の話に着地させた。読者からの手紙が最も多かった一本。
2022/3/15,都市,ATLAS日本版,値札のない市場,パレルモの市場で、値札を出さず客の顔を見て値付けする商慣行を追った。不透明さを即座に不正と断じる先進国側の視線を保留し、制度の外にある秩序として記述した。相対主義に流れかけた箇所を編集者に指摘され、三度書き直している。判断を急がない書き方を意識的に試した実験作。
2022/7/8,廃棄物,ATLAS日本版,処理されない場所,シチリアの廃棄物処理をめぐる取材記事。合法的な処理費用と非合法な処理費用の差額が、そのまま誰かの利益になる構造を図解した。取材中に脅迫を受けた事実を本文末尾に一段落だけ記し、恐怖を煽る書き方は避けている。取材の危険を売り物にしないという方針は、この記事から明文化した。
2022/9/20,廃棄物,Frontline Review,脅しが日常業務である場所,廃棄物処理をめぐる取材で受けた脅迫を、恐怖の物語ではなく相手側の業務として分析した記事。事務的な言い方だったことに着目し、暴力が組織の日常業務に組み込まれている状態を描いた。取材者の被害を売り物にしない書き方を検証した実験的な一本。
2022/12/5,廃棄物,季刊SOIL,国境を越えるのはモノか責任か,先進国で発生した廃棄物が輸出される経路を、条約と実務の両面から整理した解説記事。ルポではなく制度解説に振った珍しい構成で、後続の現地取材の前提となる知識をまとめる意図で書いた。専門家からは正確さを評価された一方、読者からは硬すぎると言われ、以降は解説と現場を混ぜる構成を選ぶようになった。
2023/4/11,人権,Frontline Review,謝らない手続き,中米の空港で誤認により三日間拘束された自身の経験をもとに、行政手続きが誤りを認めない構造を分析した。釈放時に謝罪がなく荷物だけ丁寧に返却された事実を軸に、丁寧さと誠実さが別物であることを示した。自分を主語にした記事は例外的だが、制度の側の視点からは見えないものを書く手段として有効だった。
2023/7/24,気候変動,ATLAS日本版,水の記憶を持つ人たち,南欧の水不足地域で、かつて水があった頃を知る世代と知らない世代の認識差を追った。基準となる記憶が世代ごとに更新されることで、失われた状態が正常として定着していく過程を描いた。環境変化の心理的側面を扱った記事として引用が多い。
2023/10/2,労働,ATLAS日本版,アプリの機嫌,サンパウロのギグワーカー取材。報酬額が数十秒単位で変動するアルゴリズムを、当事者が「アプリの機嫌」と擬人化して語ることに着目した。交渉相手が人間ですらない労働環境で、働き手が自衛のためにどんな語彙を発明しているかを記述している。技術批判ではなく、語彙の観察から入る構成を取った。
2023/12/18,AIと人権,Frontline Review,誰も反論しない判定,自動判定システムが行政給付の可否を決める仕組みを、三カ国の事例で比較した。誤りが起きたときに反論する窓口が制度上存在しないケースが共通していることを示した。技術の精度ではなく、異議申し立ての設計こそが人権の問題であると論じている。IT業界にいた経験が最も直接的に活きた記事。
2024/2/20,教育,ATLAS日本版,空白のまま置かれた欄,ヨルダンの難民キャンプで五年ぶりに再取材した長編。将来の夢の欄が空白のままの少女ヌールのノートを軸に、書けないことを責めない大人たちの判断を描いた。前回記事が就学率という指標に依存していた反省から、今回は同じ子どもを継続して追う構成に変えている。時間をかけた取材だけが書ける種類の記事として、自身の転機と位置づけている。
2024/3/29,移民・難民,季刊SOIL,二度目の国境,一度帰還した人が再び国を出る決断をする過程を、五人の証言で追った。帰還支援の成功指標が帰還した時点で計測を終えていることを指摘し、その後を誰も見ていない構造を示した。政策評価の設計そのものへの批判を、当事者の言葉のみで組み立てた点に苦心している。
2024/4/16,人権,季刊SOIL,制度に間違われた人の時間,誤認による拘束を経験した五人への取材記事。自身の経験を冒頭で開示した上で、当事者が失うのは自由だけでなく時間の連続性であることを示した。補償制度が金銭のみを対象としている点への疑問を提起している。
2024/6/7,観光,ATLAS日本版,一本裏の道,ヴェネツィアで、住民が観光客の列を横切らず必ず一本裏を歩く動線を追った記事。同じ街に二つの動線があることを共存とは呼べないのではないかと問うた。観光公害という言葉が持つ加害と被害の単純な図式を避け、双方が互いを見ないことで成立している均衡として描いている。
2024/9/3,情報環境,Frontline Review,結論が先にある依頼,広告主の意向で結論が決まっている記事の依頼を断った経緯を、業界構造の問題として書いた。断った自分を正義として描かないため、断れる立場にいる条件を先に列挙している。掲載後、同様の依頼を受けた経験を持つ書き手から複数の連絡があり、業界内で最も反応があった一本になった。
2024/11/12,廃棄物,ATLAS日本版,銅を抜く手,ガーナの電子廃棄物処理場のルポ。基板から銅を取り出す少年の手つきが熟練していたという事実を、搾取という枠組みだけでは書けないものとして提示した。技術と搾取が同時に成立している現場をどう記述するかについて、本文中で自らの逡巡を明かしている。書き方の暴力について最も踏み込んだ記事。
2024/12/10,気候変動,季刊SOIL,匂いを持ち帰れる人,現地取材した記者だけが匂いを持ち帰れて、住む人は持ち帰れないという非対称を出発点に、環境ジャーナリズムの立ち位置を問い直したエッセイ。ルポの形式を取らず、方法論として書いた。読者からは分かりにくいという声が多かったが、同業者からの引用が続いている。
2025/2/4,AIと人権,ATLAS日本版,前半分が空いた傍聴席,ブリュッセルでのAI規制公聴会を追った記事。傍聴席の前半分が空席だったという光景を軸に、決まる場所に誰もいないという事実を規制論議の核心として提示した。条文の解説ではなく、誰が議論に参加できているかという参加構造の問題として書いている。
2025/3/26,AIと人権,Frontline Review,三種類の名刺,EUのロビイングの実務を、名刺を三種類使い分けるロビイストへの取材から描いた。悪意ではなく職能であるという本人の説明に反論できなかった経験を含め、役割と人格を切り離す訓練を受けた人々の合理性を記述した。批判の対象を悪人として描かない方針を最も徹底した記事。
2025/5/16,災害復興,ATLAS日本版,閉まった店の前の雪かき,東北沿岸部の仮設商店街で、閉店した店の前だけ毎朝雪かきがされている事実を追った記事。誰がやっているのかを最後まで特定せず、復興の統計に現れない行為として提示した。特定しないことを編集部と議論し、匿名の継続的行為として書くことを選んだ。
2025/7/8,公衆衛生,季刊SOIL,話す場所が消えるとき,継父の入院で個人経営のバーが一ヶ月閉まった経験から、地域にある非公式な相談の場が失われることの影響を書いた。私的な出来事を社会的な機能の話に接続する構成で、扉の前で立ち止まって帰る人々の描写を軸にしている。孤立の問題を施策ではなく場所の話として扱った。
2025/8/27,災害復興,Frontline Review,復興の統計に出ない仕事,被災地で継続している非公式な相互扶助を、統計に現れない労働として記述した。雪かきの記事の続編にあたり、行政の支援設計が捕捉できない行為をどう評価するかを論じている。定量化を推奨せず、捕捉できないまま尊重する立場を取った。
2025/10/1,気候変動,ATLAS日本版,終わりの日付を知っている人,メコンデルタの塩害を扱ったルポ。農民ミンが自分の田が使えなくなる年を正確に暗算していたことを軸に、当事者が自らの終わりの日付を把握している状況を描いた。被害地の写真が美しく撮れてしまうことへの後ろめたさを本文中に記し、視覚表現の倫理にも触れている。
2025/11/19,気候変動,Frontline Review,指摘されない矛盾,国際気候会議のプレスルームで使い捨て容器の弁当が配られ、誰も指摘しなかった光景を起点に、矛盾が指摘されないまま制度化される過程を論じた。会議の合意内容ではなく運営の細部を見る手法を取っている。皮肉に寄りすぎたという批判も受けた一本。
2025/12/16,労働,ATLAS日本版,使う側に回った人,かつて技能実習生として取材した人物が、十年後に経営側に回っていた事実を追った続報。単純な被害者の物語が持続しないことを示し、構造は人を入れ替えながら続くと結論づけた。過去の自分の記事を引用しながら訂正する構成を初めて取っている。
2026/1/28,移民・難民,季刊SOIL,行かない理由を用意する,祖父の出身地ブエノスアイレスへの取材を三度延期している自身について書いたエッセイ。移動の自由を持つ者が、それでも行かない選択をする心理を、移民の帰還をめぐる取材と重ねた。私的な主題を扱うが、感傷に流れないよう事実の記述に徹している。
2026/2/25,観光,ATLAS日本版,歓待という無防備,ナポリで取材先の家族に食事を振る舞われた経験から、歓待を受けたときに取材者が最も無防備になることを書いた。距離を保つべきだという規範と、距離を詰めなければ聞けない話があるという実感の矛盾を、解決せずに提示している。
2026/3/3,都市,ATLAS日本版,二重価格を悪と呼べるか,観光地の二重価格をめぐる記事。地元と観光客で価格を変える慣行を、単純な不当表示として切り捨てられなくなった過程を書いた。判断を保留したまま記事を終える構成を選び、結論を出さないことへの批判も想定した上で掲載した。
2026/4/9,情報環境,Frontline Review,消した音源について,本人が公開を撤回した録音を消去した判断について書いた短い記事。書けば確実に読まれる内容だったことを認めた上で、消すという判断が誰にも評価されない性質のものであることを記した。取材倫理を抽象論ではなく個別の判断として書く試み。
2026/5/21,人権,ATLAS日本版,出口を向いた足,匿名を条件に取材に応じた告発者たちの身体の所作を観察した記事。顔を隠すより先に身体が逃げる準備をしているという共通点を示し、匿名化の技術的手段だけでは守れないものがあると論じた。取材者側の配慮の実務についても具体的に記述している。
2026/6/11,教育,季刊SOIL,抜かれることについて,二十年前に自分がやっていたフリースタイルフットボールの技を、若い世代がはるかに高い精度で決める場面から書いたエッセイ。技術の継承において、先行世代が抜かれることをどう受け止めるかを、職人の世界の取材と重ねている。軽い題材だが反響は大きかった。
2026/6/24,AIと人権,季刊SOIL,異議申し立ての設計,自動化された行政判断について、精度ではなく異議申し立ての経路を評価軸とすべきだと論じた提言記事。三カ国の制度を比較し、窓口の有無と実質的な利用可能性の差を整理した。技術者としての経歴を持つ書き手による制度提言として、専門誌からの参照が続いている。
2026/7/1,情報環境,ATLAS日本版,字が大きかった頃,二十年分の取材ノートを見返し、初期のものほど字が大きかったという発見から、確信の量と記述の関係を論じたエッセイ。分かっているつもりの量と字の大きさが比例するという観察を軸に、経験を積むことが記述を慎重にする過程を描いた。四十歳を前にした区切りとして書いた。
2026/7/29,労働,Frontline Review,現場の言葉を訳しすぎない,取材相手の言葉を分かりやすく言い換えることで失われるものについて書いた方法論の記事。ギグワーカーの「アプリの機嫌」という表現を例に、当事者が発明した語彙をそのまま残す判断の基準を整理した。編集の現場で頻繁に起きる衝突を具体的に記述している。
